GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US36061,36061,"New York County, New York",1400000US36061003602,36061003602,New York County - Census Tract 36.02,Census Tract 36.02,3151,1597,0.03,0,0.03,91693.1,46472.2
0500000US36061,36061,"New York County, New York",1400000US36061003700,36061003700,New York County - Census Tract 37,Census Tract 37,2447,1564,0.27,0.11,0.16,15463.1,9883.2
0500000US36061,36061,"New York County, New York",1400000US36061003800,36061003800,New York County - Census Tract 38,Census Tract 38,9237,5697,0.08,0,0.08,118211.9,72908.2
0500000US36061,36061,"New York County, New York",1400000US36061003900,36061003900,New York County - Census Tract 39,Census Tract 39,5860,3061,0.3,0.17,0.13,45286.4,23655.6
0500000US36061,36061,"New York County, New York",1400000US36061004000,36061004000,New York County - Census Tract 40,Census Tract 40,8651,4610,0.07,0,0.07,125636.3,66949.9
0500000US36061,36061,"New York County, New York",1400000US36061004100,36061004100,New York County - Census Tract 41,Census Tract 41,7817,3783,0.07,0,0.07,105738.9,51171.8
0500000US36061,36061,"New York County, New York",1400000US36061004200,36061004200,New York County - Census Tract 42,Census Tract 42,5145,1761,0.03,0,0.03,155660.7,53278.6
0500000US36061,36061,"New York County, New York",1400000US36061004300,36061004300,New York County - Census Tract 43,Census Tract 43,4270,2589,0.06,0,0.06,74104.3,44931.1
0500000US36061,36061,"New York County, New York",1400000US36061004400,36061004400,New York County - Census Tract 44,Census Tract 44,16538,8745,0.34,0.18,0.16,104360.5,55184
0500000US36061,36061,"New York County, New York",1400000US36061004500,36061004500,New York County - Census Tract 45,Census Tract 45,1136,586,0.04,0,0.04,28035.6,14462
0500000US36061,36061,"New York County, New York",1400000US36061004700,36061004700,New York County - Census Tract 47,Census Tract 47,2524,1710,0.06,0,0.06,39476.9,26745.4
0500000US36061,36061,"New York County, New York",1400000US36061004800,36061004800,New York County - Census Tract 48,Census Tract 48,7229,3962,0.07,0,0.07,106530.3,58386.1
0500000US36061,36061,"New York County, New York",1400000US36061004900,36061004900,New York County - Census Tract 49,Census Tract 49,4942,3169,0.08,0,0.08,61738.4,39589
0500000US36061,36061,"New York County, New York",1400000US36061005000,36061005000,New York County - Census Tract 50,Census Tract 50,5055,3558,0.06,0,0.06,78493.4,55248.2
0500000US36061,36061,"New York County, New York",1400000US36061005200,36061005200,New York County - Census Tract 52,Census Tract 52,3408,1716,0.07,0,0.07,52420.3,26394.7
0500000US36061,36061,"New York County, New York",1400000US36061005400,36061005400,New York County - Census Tract 54,Census Tract 54,4536,2909,0.06,0,0.06,69946.7,44857.8
0500000US36061,36061,"New York County, New York",1400000US36061005501,36061005501,New York County - Census Tract 55.01,Census Tract 55.01,4204,2370,0.05,0,0.05,87498.5,49327.2
0500000US36061,36061,"New York County, New York",1400000US36061005502,36061005502,New York County - Census Tract 55.02,Census Tract 55.02,2257,1314,0.04,0,0.04,50616.1,29468.1
0500000US36061,36061,"New York County, New York",1400000US36061005600,36061005600,New York County - Census Tract 56,Census Tract 56,3322,2239,0.07,0,0.07,49555,33399.7
0500000US36061,36061,"New York County, New York",1400000US36061005700,36061005700,New York County - Census Tract 57,Census Tract 57,2781,1692,0.04,0,0.04,66658.9,40556.2
0500000US36061,36061,"New York County, New York",1400000US36061005800,36061005800,New York County - Census Tract 58,Census Tract 58,3512,2356,0.07,0,0.07,51838.7,34775.6
0500000US36061,36061,"New York County, New York",1400000US36061005900,36061005900,New York County - Census Tract 59,Census Tract 59,5401,3333,0.04,0,0.04,120415.3,74309.2
0500000US36061,36061,"New York County, New York",1400000US36061006000,36061006000,New York County - Census Tract 60,Census Tract 60,4511,2479,0.17,0.12,0.05,91701,50393.9
0500000US36061,36061,"New York County, New York",1400000US36061006100,36061006100,New York County - Census Tract 61,Census Tract 61,5224,2679,0.05,0,0.05,95070.1,48754.4
0500000US36061,36061,"New York County, New York",1400000US36061006200,36061006200,New York County - Census Tract 62,Census Tract 62,4437,1390,0.44,0.32,0.12,37572.6,11770.6
0500000US36061,36061,"New York County, New York",1400000US36061006300,36061006300,New York County - Census Tract 63,Census Tract 63,6380,4349,0.07,0,0.07,92734.7,63213.7
0500000US36061,36061,"New York County, New York",1400000US36061006400,36061006400,New York County - Census Tract 64,Census Tract 64,8090,5246,0.07,0,0.07,117779.7,76374.8
0500000US36061,36061,"New York County, New York",1400000US36061006500,36061006500,New York County - Census Tract 65,Census Tract 65,6202,3708,0.08,0,0.08,79862.7,47747.6
0500000US36061,36061,"New York County, New York",1400000US36061006600,36061006600,New York County - Census Tract 66,Census Tract 66,11740,6966,0.07,0,0.07,174045.6,103271
0500000US36061,36061,"New York County, New York",1400000US36061006700,36061006700,New York County - Census Tract 67,Census Tract 67,5461,3854,0.07,0,0.07,83951.7,59247.3
0500000US36061,36061,"New York County, New York",1400000US36061006800,36061006800,New York County - Census Tract 68,Census Tract 68,7614,4428,0.07,0,0.07,113046.5,65743.3
0500000US36061,36061,"New York County, New York",1400000US36061006900,36061006900,New York County - Census Tract 69,Census Tract 69,2759,1426,0.19,0.1,0.09,31760.4,16415.5
0500000US36061,36061,"New York County, New York",1400000US36061007000,36061007000,New York County - Census Tract 70,Census Tract 70,8871,5775,0.07,0,0.07,129565.9,84347.1
0500000US36061,36061,"New York County, New York",1400000US36061007100,36061007100,New York County - Census Tract 71,Census Tract 71,5429,3711,0.06,0,0.06,85220,58252.2
0500000US36061,36061,"New York County, New York",1400000US36061007200,36061007200,New York County - Census Tract 72,Census Tract 72,8664,5390,0.07,0,0.07,128214.2,79763.9
0500000US36061,36061,"New York County, New York",1400000US36061007300,36061007300,New York County - Census Tract 73,Census Tract 73,6215,4563,0.06,0,0.06,97379.8,71495.4
0500000US36061,36061,"New York County, New York",1400000US36061007400,36061007400,New York County - Census Tract 74,Census Tract 74,4319,2955,0.07,0,0.07,64256.9,43963.7
0500000US36061,36061,"New York County, New York",1400000US36061007500,36061007500,New York County - Census Tract 75,Census Tract 75,4159,2653,0.17,0.1,0.07,59963.7,38250.5
0500000US36061,36061,"New York County, New York",1400000US36061007600,36061007600,New York County - Census Tract 76,Census Tract 76,2277,1617,0.07,0,0.07,33839.8,24031.2
0500000US36061,36061,"New York County, New York",1400000US36061007700,36061007700,New York County - Census Tract 77,Census Tract 77,5966,4247,0.07,0,0.07,86476.4,61559.7
0500000US36061,36061,"New York County, New York",1400000US36061007800,36061007800,New York County - Census Tract 78,Census Tract 78,8391,5582,0.07,0,0.07,122456.4,81462.5
0500000US36061,36061,"New York County, New York",1400000US36061007900,36061007900,New York County - Census Tract 79,Census Tract 79,4442,2911,0.3,0.19,0.11,39221.5,25703.2
0500000US36061,36061,"New York County, New York",1400000US36061008000,36061008000,New York County - Census Tract 80,Census Tract 80,5377,3823,0.07,0,0.07,80675,57359.2
0500000US36061,36061,"New York County, New York",1400000US36061008100,36061008100,New York County - Census Tract 81,Census Tract 81,8047,5390,0.07,0,0.07,119582.3,80098
0500000US36061,36061,"New York County, New York",1400000US36061008200,36061008200,New York County - Census Tract 82,Census Tract 82,3262,2546,0.07,0,0.07,49005.2,38248.7
0500000US36061,36061,"New York County, New York",1400000US36061008300,36061008300,New York County - Census Tract 83,Census Tract 83,4092,2300,0.07,0,0.07,60846.1,34199.9
0500000US36061,36061,"New York County, New York",1400000US36061008400,36061008400,New York County - Census Tract 84,Census Tract 84,1595,1055,0.07,0,0.07,23869.5,15788.3
0500000US36061,36061,"New York County, New York",1400000US36061008601,36061008601,New York County - Census Tract 86.01,Census Tract 86.01,2618,1556,0.23,0.19,0.05,54588.4,32444.4
0500000US36061,36061,"New York County, New York",1400000US36061008602,36061008602,New York County - Census Tract 86.02,Census Tract 86.02,0,0,0.17,0.13,0.04,0,0
0500000US36061,36061,"New York County, New York",1400000US36061008603,36061008603,New York County - Census Tract 86.03,Census Tract 86.03,4799,3499,0.11,0.06,0.05,95000.2,69265.6
0500000US36061,36061,"New York County, New York",1400000US36061008700,36061008700,New York County - Census Tract 87,Census Tract 87,6338,4331,0.06,0,0.06,99219.9,67800.8
0500000US36061,36061,"New York County, New York",1400000US36061008800,36061008800,New York County - Census Tract 88,Census Tract 88,7026,5619,0.07,0,0.07,100771.7,80591.6
0500000US36061,36061,"New York County, New York",1400000US36061008900,36061008900,New York County - Census Tract 89,Census Tract 89,5708,3458,0.06,0,0.06,89286.2,54091
0500000US36061,36061,"New York County, New York",1400000US36061009000,36061009000,New York County - Census Tract 90,Census Tract 90,7883,5775,0.07,0,0.07,114639.1,83983.3
0500000US36061,36061,"New York County, New York",1400000US36061009100,36061009100,New York County - Census Tract 91,Census Tract 91,6304,4295,0.07,0,0.07,91164,62111.2
0500000US36061,36061,"New York County, New York",1400000US36061009200,36061009200,New York County - Census Tract 92,Census Tract 92,1806,1418,0.08,0,0.08,23741,18640.5
0500000US36061,36061,"New York County, New York",1400000US36061009300,36061009300,New York County - Census Tract 93,Census Tract 93,8780,5579,0.07,0,0.07,126968,80678.2
0500000US36061,36061,"New York County, New York",1400000US36061009400,36061009400,New York County - Census Tract 94,Census Tract 94,73,63,0.06,0,0.06,1237.7,1068.2
0500000US36061,36061,"New York County, New York",1400000US36061009500,36061009500,New York County - Census Tract 95,Census Tract 95,3040,1249,0.07,0,0.07,45785.8,18811.4
0500000US36061,36061,"New York County, New York",1400000US36061009600,36061009600,New York County - Census Tract 96,Census Tract 96,155,252,0.07,0,0.07,2289.7,3722.6
0500000US36061,36061,"New York County, New York",1400000US36061009700,36061009700,New York County - Census Tract 97,Census Tract 97,5224,2783,0.07,0,0.07,77418.8,41243.6
0500000US36061,36061,"New York County, New York",1400000US36061009800,36061009800,New York County - Census Tract 98,Census Tract 98,7316,5411,0.07,0,0.07,107011.1,79146.7
0500000US36061,36061,"New York County, New York",1400000US36061009900,36061009900,New York County - Census Tract 99,Census Tract 99,1945,2400,0.82,0.43,0.39,5002,6172.1
0500000US36061,36061,"New York County, New York",1400000US36061010000,36061010000,New York County - Census Tract 100,Census Tract 100,1992,1364,0.07,0,0.07,29840.6,20433
0500000US36061,36061,"New York County, New York",1400000US36061010100,36061010100,New York County - Census Tract 101,Census Tract 101,1116,680,0.07,0,0.07,16468,10034.3
0500000US36061,36061,"New York County, New York",1400000US36061010200,36061010200,New York County - Census Tract 102,Census Tract 102,230,307,0.07,0,0.07,3445.5,4599
0500000US36061,36061,"New York County, New York",1400000US36061010300,36061010300,New York County - Census Tract 103,Census Tract 103,2058,1414,0.07,0,0.07,30872.8,21211.9
0500000US36061,36061,"New York County, New York",1400000US36061010400,36061010400,New York County - Census Tract 104,Census Tract 104,966,1040,0.07,0,0.07,14442.6,15549
0500000US36061,36061,"New York County, New York",1400000US36061010601,36061010601,New York County - Census Tract 106.01,Census Tract 106.01,7351,5345,0.1,0.05,0.05,143926.3,104650.5
0500000US36061,36061,"New York County, New York",1400000US36061010602,36061010602,New York County - Census Tract 106.02,Census Tract 106.02,4875,2866,0.08,0.02,0.05,96289.1,56608.1
0500000US36061,36061,"New York County, New York",1400000US36061010800,36061010800,New York County - Census Tract 108,Census Tract 108,9039,6227,0.07,0,0.07,128251.5,88352.9
0500000US36061,36061,"New York County, New York",1400000US36061010900,36061010900,New York County - Census Tract 109,Census Tract 109,183,132,0.07,0,0.07,2697,1945.4
0500000US36061,36061,"New York County, New York",1400000US36061011000,36061011000,New York County - Census Tract 110,Census Tract 110,7169,4996,0.07,0,0.07,105163.3,73287.2
0500000US36061,36061,"New York County, New York",1400000US36061011100,36061011100,New York County - Census Tract 111,Census Tract 111,3512,2451,0.07,0,0.07,51950.3,36255.8
0500000US36061,36061,"New York County, New York",1400000US36061011201,36061011201,New York County - Census Tract 112.01,Census Tract 112.01,992,1006,0.03,0,0.03,32303.2,32759.1
0500000US36061,36061,"New York County, New York",1400000US36061011202,36061011202,New York County - Census Tract 112.02,Census Tract 112.02,441,463,0.03,0,0.03,14641.9,15372.3
0500000US36061,36061,"New York County, New York",1400000US36061011203,36061011203,New York County - Census Tract 112.03,Census Tract 112.03,1401,1213,0.03,0,0.03,46551.8,40305
0500000US36061,36061,"New York County, New York",1400000US36061011300,36061011300,New York County - Census Tract 113,Census Tract 113,117,111,0.07,0,0.07,1725.2,1636.7
0500000US36061,36061,"New York County, New York",1400000US36061011401,36061011401,New York County - Census Tract 114.01,Census Tract 114.01,1412,1335,0.04,0,0.04,37124.5,35100
0500000US36061,36061,"New York County, New York",1400000US36061011402,36061011402,New York County - Census Tract 114.02,Census Tract 114.02,2397,1869,0.04,0,0.04,62836.7,48995.3
0500000US36061,36061,"New York County, New York",1400000US36061011500,36061011500,New York County - Census Tract 115,Census Tract 115,2303,1456,0.07,0,0.07,33898.1,21431
0500000US36061,36061,"New York County, New York",1400000US36061011600,36061011600,New York County - Census Tract 116,Census Tract 116,3543,2781,0.12,0.04,0.08,43758.9,34347.6
0500000US36061,36061,"New York County, New York",1400000US36061011700,36061011700,New York County - Census Tract 117,Census Tract 117,3364,3154,0.14,0.07,0.07,44942.7,42137.1
0500000US36061,36061,"New York County, New York",1400000US36061011800,36061011800,New York County - Census Tract 118,Census Tract 118,8767,6283,0.07,0,0.07,128453.3,92057.9
0500000US36061,36061,"New York County, New York",1400000US36061011900,36061011900,New York County - Census Tract 119,Census Tract 119,1120,1073,0.07,0,0.07,16334.1,15648.6
0500000US36061,36061,"New York County, New York",1400000US36061012000,36061012000,New York County - Census Tract 120,Census Tract 120,3971,2561,0.07,0,0.07,59442.1,38335.7
0500000US36061,36061,"New York County, New York",1400000US36061012100,36061012100,New York County - Census Tract 121,Census Tract 121,8554,5934,0.07,0,0.07,124352.5,86264.6
